operator,time_us
DistributedDataParallel.forward,2654
aten::flatten_dense_tensors,611
aten::view,1491
aten::cat,13116
c10d::broadcast_,6
record_param_comms,257
aten::unflatten_dense_tensors,2347
aten::narrow,3810
aten::slice,3606
aten::as_strided,1815
aten::copy_,5159
aten::conv2d,344
aten::convolution,328
aten::_convolution,333
aten::cudnn_convolution,33656
aten::add_,17499
aten::batch_norm,324
aten::_batch_norm_impl_index,330
aten::cudnn_batch_norm,31116
aten::empty_like,351
aten::empty,1476
aten::relu_,324
aten::clamp_min_,19153
aten::max_pool2d,2
aten::max_pool2d_with_indices,859
aten::avg_pool2d,690
aten::adaptive_avg_pool2d,3
aten::mean,56
aten::flatten,3
aten::linear,6
aten::t,13
aten::transpose,13
aten::addmm,28
aten::is_same_size,1
autograd::engine::evaluate_function: AddmmBackward0,6
AddmmBackward0,11
aten::mm,46
aten::sum,8
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,1944
torch::autograd::AccumulateGrad,1077
torch::distributed::reducer::mul_out,1019
aten::mul,1220
autograd::engine::evaluate_function: TBackward0,3
TBackward0,3
c10d::allreduce_,9
autograd::engine::evaluate_function: ViewBackward0,2
ViewBackward0,3
aten::reshape,3
autograd::engine::evaluate_function: MeanBackward1,3
MeanBackward1,8
aten::expand,3
aten::div,37
autograd::engine::evaluate_function: ReluBackward0,341
ReluBackward0,392
aten::threshold_backward,28528
autograd::engine::evaluate_function: CudnnBatchNormBackward0,384
CudnnBatchNormBackward0,383
aten::cudnn_batch_norm_backward,51278
autograd::engine::evaluate_function: CatBackward0,1242
CatBackward0,1259
autograd::engine::evaluate_function: ConvolutionBackward0,382
ConvolutionBackward0,400
aten::convolution_backward,89566
aten::to,157
aten::contiguous,24
aten::clone,44
aten::add,2694
autograd::engine::evaluate_function: AvgPool2DBackward0,9
AvgPool2DBackward0,10
aten::avg_pool2d_backward,2443
autograd::engine::evaluate_function: MaxPool2DWithIndicesBackward0,3
MaxPool2DWithIndicesBackward0,3
aten::max_pool2d_with_indices_backward,2163
aten::zero_,2
aten::fill_,481
torch.distributed.ddp.reducer::copy_bucket_to_grad,1212
whole_step_time,330.585 ms
